Topic,Count,Name,Representation,Representative_Docs
-1,122,-1_revenue_customers_data_development,"['revenue', 'customers', 'data', 'development', 'nvidia', 'data center', 'sales', 'applications', 'income', 'performance']","['compute and networking platforms for accelerated computing and AI solutions. for our Hopper architecture drove our significant growth for the full year. We began shipping production systems of the Blackwell architecture in the fourth quarter of . estimates for our products, applications, and can be incorrect and create volatility in our revenue or supply levels. We may not be able to generate significant revenue from them. Advancements in accelerated computing and generative AI models, along with the growth in model complexity and scale, have driven increased for our Data Center systems. We continue to increase our supply and capacity purchases with existing and new suppliers to support our projections and increasing complexity of our data center products. With these additions, we', 'of accelerated computing platforms to meet a growing and diverse set of AI opportunities. We have introduced a new and architecture cadence of our Data Center solutions where we seek to complete new computing solutions each and provide a greater variety of Data Center offerings. The increased frequency of these transitions and the larger number of and configurations may magnify the challenges associated with managing our supply and which may further create volatility in our revenue. The increased frequency and complexity of newly introduced could result in quality or production issues that could increase inventory provisions, warranty, or other costs or result in delays. We incur significant engineering development resources for new products, and changes to our roadmap may impact', '. . Reportable Segments Revenue by Reportable Segments ($ in millions) Compute & Networking , , , Graphics , , Total , Operating Income by Reportable Segments , , , , , () () All Other (,) (,) (,) , Compute & Networking revenue – The over increase was due to strong for our accelerated computing and AI solutions. Revenue from Data Center computing grew % driven primarily by for our Hopper computing platform used for large language models, recommendation engines, and generative AI applications. Revenue from Data Center networking grew % driven by Ethernet for AI revenue, which includes Spectrum-X end-to-end ethernet platform. Graphics revenue – The over increase was driven by sales']"
0,44,0_export_export controls_restrictions_china,"['export', 'export controls', 'restrictions', 'china', 'licensing', 'diffusion ifr', 'negatively impact', 'licensing requirements', 'markets', 'import']","['our competitive position and future results may be further harmed, over the long term, if there are further changes in the USG’s export controls. Given the increasing strategic importance of AI and rising geopolitical tensions, the USG has changed and may again change the export control rules at any time and further subject a wider range of our to export restrictions and licensing requirements, negatively impacting our and results. In the event of such change, we may be unable to sell our inventory of such and may be unable to develop replacement not subject to the licensing requirements, effectively excluding us from all or part of the China market, as well as other impacted markets, the Middle East and countries designated “Tier', 'to provide such as NVIDIA AI cloud and could impact the cost and/or ability for our CSPs and customers to provide to their end customers, even outside China. Export controls could disrupt our supply chain and distribution channels, negatively impacting our ability to serve , in markets outside China and for our gaming products. The possibility of additional export controls has negatively impacted and may in the future negatively impact for our products, benefiting competitors that offer alternatives less likely to be restricted by further controls. Repeated changes in the export control rules are likely to impose compliance burdens on our and our customers, negatively and impacting our business. Increasing use of economic sanctions and export controls has impacted and may', 'in the USG’s export controls. Given the increasing strategic importance of AI and rising geopolitical tensions, the USG has changed and may again change the export control rules at any time and further subject a wider range of our to export restrictions and licensing requirements, negatively impacting our and results. In the event of such change, we may be unable to sell our inventory of such and may be unable to develop replacement not subject to the licensing requirements, effectively excluding us from all or part of the China market, as well as other impacted markets, the Middle East and countries designated “Tier ” by the AI Diffusion IFR. In addition to export controls, the USG may impose restrictions on the import']"
1,35,1_regulatory_stock_impact_customers,"['regulatory', 'stock', 'impact', 'customers', 'risks', 'laws', 'investment', 'acquisition', 'industry', 'compliance']","['results are below the expectations of securities analysts or investors, our stock price could decline. Risks Related to Regulatory, Legal, Our Stock, and Other Matters We are subject to complex laws, rules, regulations, and political and other actions, restrictions on the export of our products, which may impact our business. Increased scrutiny regarding our corporate sustainability practices could result in financial, reputational, or operational harm and liability. Issues relating to the responsible use of our technologies, AI, may result in reputational or harm and liability. Adequately protecting our IP rights could be costly, and our ability to compete could be harmed if we are unsuccessful or if we are prohibited from making or selling our products. We are subject to stringent and changing data', 'results on a timely and accurate basis may be affected, our access to the capital markets may be restricted, our stock price may decline, and we may be subject to sanctions or investigation by regulatory authorities. Our operating results have in the past fluctuated and may continue to fluctuate due to a number of factors. Therefore, investors should not rely on our past results of as an indication of our future performance. Factors that could affect our results of include, but are not limited to: our ability to adjust spending due to the multi-year development cycle for some of our and services; our ability to comply with our contractual obligations to customers; our extended payment term arrangements with certain customers, the inability of', 'costly, and our ability to compete could be harmed if we are unsuccessful or if we are prohibited from making or selling our products. We are subject to stringent and changing data privacy and security laws, rules, regulations, and other obligations. These areas could damage our reputation, deter customers, affect design, or result in legal or regulatory proceedings and liability. Our operating results may be impacted by additional liabilities, higher than expected rates, changes in laws, and other -related factors. Our is exposed to the burden and risks associated with litigation, investigations, and regulatory proceedings. Delaware law, provisions in our governing documents and our agreement with Microsoft could delay or prevent a change in control. Risk Factors Our accelerated computing platforms']"
2,31,2_inventory_supply_suppliers_lead,"['inventory', 'supply', 'suppliers', 'lead', 'manufacturing', 'customers', 'production', 'manufacturers', 'lead times', 'orders']","[""properly, ordering in advance of historical lead-times, government regulations and the impact of changes in future , or increase in for competitive products, competitive actions. The net effect on our from inventory provisions and sales of items previously written down was an unfavorable impact of .% in and .% in . Our inventory and capacity purchase commitments are based on forecasts of future customer and consider our third-party manufacturers' lead times and constraints. Our manufacturing lead times can be and have been long, and in some cases, extended beyond twelve months for some products. We may place non-cancellable inventory orders for certain components in advance of our historical lead times, pay premiums and provide deposits to"", 'systems. We continue to increase our supply and capacity purchases with existing and new suppliers to support our projections and increasing complexity of our data center products. With these additions, we have also entered and may continue to enter into prepaid manufacturing and capacity agreements to supply both current and future products. The increased purchase volumes and integration of new suppliers and contract manufacturers into our supply chain creates more complexity in managing multiple suppliers with variations in production planning, execution and logistics. Our expanding portfolio and varying component compatibility and quality may lead to increased inventory levels. We have incurred and may in the future incur inventory provisions or impairments if our inventory or supply or capacity commitments exceed for our or', 'supply continuity, could have a material adverse impact on us. We continue to increase our supply and capacity purchases with existing and new suppliers to support our projections and increasing complexity of our data center products. With these additions, we have also entered and may continue to enter into prepaid manufacturing and capacity agreements to supply both current and future products. The increased purchase volumes and integration of new suppliers and contract manufacturers into our supply chain creates more complexity in managing multiple suppliers with variations in production planning, execution and logistics. Our expanding portfolio and varying component compatibility and quality may lead to increased inventory levels. We have incurred and may in the future incur inventory provisions or impairments if our inventory or supply or']"
3,19,3_income_notes_currency_compensation,"['income', 'notes', 'currency', 'compensation', 'note notes', 'consolidated statements', 'notes consolidated', 'fiscal', 'fiscal years', 'expenses']","['been $ million and $ million lower, respectively. Change in value recorded in accumulated other comprehensive income (loss) would be expected to offset a corresponding change in hedged forecasted foreign currency expenses when recognized. If an adverse % foreign exchange rate change was applied to our balance sheet hedging contracts, it would have resulted in an adverse impact on income before taxes of $ million and $ million as of January , and January , , respectively. These changes in fair values would be offset in other income (expense), net by corresponding change in fair values of the foreign currency denominated monetary assets and liabilities, assuming the hedge contracts fully cover the foreign currency denominated monetary assets and liabilities balances. Refer to Note of the Notes', 'of plus or minus .% would result in a change in fair value for these investments of $ million. As of the end of , we had $. of senior Notes outstanding. We carry the Notes at face value less unamortized discount on our Consolidated Balance Sheets. As the Notes bear interest at a fixed rate, we have no statement risk associated with changes in interest rates. Refer to Note of the Notes to the Consolidated Statements in Part IV, Item of this Annual Report on -K for additional information. Foreign Exchange Rate Risk We consider our direct exposure to foreign exchange rate fluctuations to be minimal as substantially all of our sales are in United States dollars and foreign', 'equity securities, and the impact of changes in foreign currency rates. The change in Other, net, compared to , was primarily driven by an increase in fair value of our non-marketable equity securities and publicly-held equity securities. Refer to Note of the Notes to the Consolidated Statements in Part IV, Item of this Annual Report on -K for additional information regarding our non-marketable equity securities. Income expense was $. and $. for fiscal years and , respectively. Income as a percentage of income before income was an expense of .% and .% for fiscal years and , respectively. The rate increased primarily due to higher pre- income and a prior discrete benefit']"
4,17,4_security_cybersecurity_information_risk,"['security', 'cybersecurity', 'information', 'risk', 'vulnerabilities', 'incidents', 'risks', 'sensitive information', 'confidential', 'reputational']","['and review of supplier questionnaires designed to help us evaluate cybersecurity risks that we may encounter when working with third parties that have access to confidential and other sensitive information. We take steps designed to ensure that such vendors have implemented data privacy and security controls that help mitigate the cybersecurity risks associated with these vendors, depending on the nature and sensitivity of the supplier and data they process on our behalf. We routinely assess our high-risk suppliers’ conformance to industry standards (e.g., ISO , ISO , and C-TPAT), and we evaluate them for additional information, product, and physical security requirements. Refer to “Item 1A. Risk factors” in this annual report on -K for additional information about cybersecurity-related risks. Governance Information security matters, managing', 'limited insight into the data privacy or security practices of third-party suppliers, for our AI algorithms. Our ability to monitor these third parties’ information security practices is limited, and they may not have adequate information security measures in place. In addition, if one of our third-party suppliers suffers a security incident (which has happened in the past and may happen in the future), our response may be limited or more difficult because we may not have direct access to their systems, logs and other information related to the security incident. Additionally, we are incorporated into the supply chain of a large number of entities worldwide and, as a result, if our or are compromised, a significant number of our customers and their data could be', 'information, product, and physical security requirements. Refer to “Item 1A. Risk factors” in this annual report on -K for additional information about cybersecurity-related risks. Governance Information security matters, managing and assessing risks from cybersecurity threats, remain under the oversight of the Company’s Board of Directors, or the Board. The Audit Committee of the Board, or the Audit Committee, also reviews the adequacy and effectiveness of the Company’s information security policies and practices and the internal controls regarding information security risks. The Audit Committee receives regular information security updates from management, our Chief Security Officer and members of our security team. The Board also receives annual reports on information security matters from our Chief Security Officer and members of our security team. Our security efforts']"
5,16,5_nvidia_data center_gpus_gpu,"['nvidia', 'data center', 'gpus', 'gpu', 'accelerated computing', 'cloud', 'computing platform', 'processing', 'gaming', 'compute networking']","['Our NVIDIA pioneered accelerated computing to help solve the most challenging computational problems. NVIDIA is now a full-stack computing infrastructure with data-center-scale offerings that are reshaping industry. Our full-stack includes the foundational CUDA programming model that runs on all NVIDIA GPUs, as well as hundreds of domain-specific software libraries, software development kits, or SDKs, and Application Programming Interfaces, or APIs. This deep and broad software stack accelerates the performance and eases the deployment of NVIDIA accelerated computing for computationally intensive workloads such as artificial intelligence, or AI, model training and inference, data analytics, scientific computing, and 3D graphics, with vertical-specific optimizations to address industries ranging from healthcare and telecom to automotive and manufacturing. Our data-center-scale offerings are comprised of compute and networking solutions that can scale', 'of the NVIDIA accelerated computing platform are our GPUs, which excel at parallel workloads such as the training and inferencing of neural networks. They are available in the NVIDIA accelerated computing platform and in industry standard servers from every major cloud provider and server maker. Beyond GPUs, our data center platform expanded to include DPUs in and CPUs in . We can optimize across the entire computing, networking and storage stack to deliver data center-scale computing solutions. While our approach starts with powerful chips, what makes it a full-stack computing platform is our large body of software, the CUDA parallel programming model, the CUDA-X collection of acceleration libraries, APIs, SDKs, and domain-specific application frameworks. In addition to software delivered to customers', 'platform is our large body of software, the CUDA parallel programming model, the CUDA-X collection of acceleration libraries, APIs, SDKs, and domain-specific application frameworks. In addition to software delivered to customers as an integral part of our data center computing platform, we offer paid licenses to NVIDIA AI Enterprise, a comprehensive suite of enterprise-grade AI software and NVIDIA vGPU software for graphics-rich virtual desktops and workstations. We also offer the NVIDIA DGX Cloud, a fully managed AI-training-as-a- platform which includes cloud-based infrastructure and software for AI, customizable pretrained AI models, and access to NVIDIA experts. In , we launched the NVIDIA Blackwell architecture, a full set of data center scale infrastructure that includes GPUs, CPUs, DPUs, interconnects, switch chips and systems, and networking adapters. Blackwell']"
6,15,6_data_privacy_laws_data privacy,"['data', 'privacy', 'laws', 'data privacy', 'privacy security', 'security', 'fines', 'regulatory', 'enforcement', 'jurisdictions']","['from the EEA and U.K. to the United States. However, these mechanisms are subject to legal challenges, and there is no that we can satisfy or rely on these measures to lawfully transfer personal data to the United States. Other jurisdictions have enacted or are considering similar cross-border personal data transfer laws and local personal data residency laws, any of which would increase the cost and complexity of doing and could result in fines from regulators. For example, China’s law imposes various requirements relating to data processing and data localization. Data broadly defined as important under China’s law, personal data, may not be transferable outside of China without prior assessment and approval by the Cyberspace Administration of China, or CAC. Compliance with these requirements,', 'affect our operating results. The theft, loss or misuse of personal data in our possession or by one of our partners could result in damage to our reputation, regulatory proceedings, disruption of our activities or increased security or remediation costs and costs related to defending legal claims. In the United States, federal, state and local authorities have enacted numerous data privacy and security laws, for data breach notification, personal data privacy and consumer protection. Numerous U.S. states have enacted comprehensive privacy laws that impose certain obligations on covered businesses, providing specific disclosures in privacy notices and affording residents with certain rights concerning their personal data. As applicable, such rights may include the right to access, correct, or delete certain personal data, and to opt-out', 'and other data privacy and security laws, or require us to increase our personal data processing capabilities in Europe and/or elsewhere at significant expense. Some European regulators have prevented companies from transferring personal data out of Europe for allegedly violating the GDPR’s cross-border data transfer limitations, which could negatively impact our business. We are also bound by certain contractual obligations related to data privacy and security, and our efforts to comply with such obligations may not be successful or may be claimed to be non-compliant. For example, certain privacy laws, such as the GDPR and the CCPA, require our customers to impose specific contractual restrictions on their providers. We sometimes host personal data in collaboration with our customers, and if a breach exposed or altered that personal']"
7,11,7_rtx_nvidia_gpus_geforce,"['rtx', 'nvidia', 'gpus', 'geforce', 'graphics', 'games', 'gaming', 'software', 'deep', 'deep learning']","['gaming, design, and creative industries forward, as developers leverage our libraries and algorithms to deliver an optimized experience on our GeForce and NVIDIA RTX platforms. Our computer graphics platforms leverage AI end-to-end, from the developer tools and cloud to the Tensor Cores included in all RTX-class GPUs. For example, NVIDIA Avatar Cloud Engine, or ACE, is a suite of technologies that help developers bring digital avatars to life with generative AI, running in the cloud or locally on the PC. GeForce Experience enhances each gamer’s experience by optimizing their PC’s settings, as well as enabling the recording and sharing of gameplay. Our Studio drivers enhance and accelerate a number of popular creative applications. Omniverse is real-time 3D design collaboration and virtual world simulation software that empowers', 'behavior of light to achieve greater realism in computer-generated scenes. NVIDIA RTX also features deep learning super sampling, or NVIDIA DLSS, our AI technology that boosts frame rates while generating beautiful, sharp images for games. RTX GPUs will also accelerate a new generation of AI applications. With an installed base of over million AI capable PCs, more than RTX AI-enabled applications and games, and a robust suite of development tools, RTX is already the AI PC leader. Our for the gaming include GeForce RTX and GeForce GTX GPUs for gaming desktop and laptop PCs, GeForce NOW cloud gaming for playing PC games on underpowered devices, as well as SoCs and development for game consoles. In , we launched the NVIDIA Blackwell', 'and thousands of startups through our Inception program. Additionally, our Deep Learning Institute provides instruction on the latest techniques on how to design, train, and deploy neural networks in applications using our accelerated computing platform. Extending our technology and platform leadership in computer graphics. We believe that computer graphics infused with AI is fundamental to the continued expansion and evolution of computing. We apply our research and development resources to enhance the user experience for consumer entertainment and professional visualization applications and create new virtual world and simulation capabilities. Our technologies are instrumental in driving the gaming, design, and creative industries forward, as developers leverage our libraries and algorithms to deliver an optimized experience on our GeForce and NVIDIA RTX platforms. Our computer graphics platforms leverage AI end-to-end,']"
8,11,8_licensing_licensing requirements_usg_china,"['licensing', 'licensing requirements', 'usg', 'china', 'requirements', 'license', 'exports', 'ship restricted', 'certain customers', 'shipments']","['There are also now licensing requirements to export a wide array of products, networking products, destined for certain end users and for certain end uses in China. During the second quarter of , the USG also informed us of an additional licensing requirement for a subset of A100 and H100 destined to certain customers and other regions, some countries in the Middle East. In October , the USG announced new and updated licensing requirements that became effective in our fourth quarter of for exports to China and Country Groups D1, D4, and D5 (including but not limited to, Saudi Arabia, the United Arab Emirates, and Vietnam, but excluding Israel) of our exceeding certain performance thresholds, including, but not limited', 'new and updated licensing requirements that became effective in our fourth quarter of for exports to China and Country Groups D1, D4, and D5 (including but not limited to Saudi Arabia, the United Arab Emirates, and Vietnam, but excluding Israel) of our exceeding certain performance thresholds, including, but not limited to, the A100, A800, H100, H800, L4, L40, L40S and RTX . The licensing requirements also apply to the export of exceeding certain performance thresholds to a party headquartered in, or with an ultimate parent headquartered in, Country Group D5, China. On October , , the USG informed us that the licensing requirements were effective immediately for shipments of our A100, A800, H100, H800, and L40S (removing the grace period granted', 'and H100 destined to certain customers and other regions, some countries in the Middle East. In October , the USG announced new and updated licensing requirements that became effective in our fourth quarter of for exports to China and Country Groups D1, D4, and D5 (including but not limited to Saudi Arabia, the United Arab Emirates, and Vietnam, but excluding Israel) of our exceeding certain performance thresholds, including, but not limited to, the A100, A800, H100, H800, L4, L40, L40S and RTX . The licensing requirements also apply to the export of exceeding certain performance thresholds to a party headquartered in, or with an ultimate parent headquartered in, Country Group D5, China. On October , , the USG informed us']"
